+------------+------------------+-------------+-------------------+------------------+-------------+-------------+---------------+
| payment_no | payment_due_date | payment_due | payment_principle | payment_interest | payment_gst | new_balance | payment_total |
|        190 |       2032-06-30 |      911.96 |            707.44 |           204.52 |       88.43 |    40264.73 |       1000.39 |
|        191 |       2032-07-30 |      911.96 |            710.97 |           200.99 |       88.87 |    39553.76 |       1000.83 |
|        192 |       2032-08-30 |      911.96 |            714.52 |           197.44 |       89.32 |    38839.24 |       1001.28 |
|        193 |       2032-09-30 |      911.96 |            718.09 |           193.87 |       89.76 |    38121.15 |       1001.72 |
|        194 |       2032-10-30 |      911.96 |            721.67 |           190.29 |       90.21 |    37399.47 |       1002.17 |
|        195 |       2032-11-30 |      911.96 |            725.28 |           186.69 |       90.66 |    36674.20 |       1002.62 |
|        196 |       2032-12-30 |      911.96 |            728.90 |           183.07 |       91.11 |    35945.30 |       1003.07 |
|        197 |       2033-01-30 |      911.96 |            732.54 |           179.43 |       91.57 |    35212.76 |       1003.53 |
|        198 |       2033-02-28 |      911.96 |            736.19 |           175.77 |       92.02 |    34476.57 |       1003.99 |
|        199 |       2033-03-30 |      911.96 |            739.87 |           172.10 |       92.48 |    33736.70 |       1004.45 |
|        200 |       2033-04-30 |      911.96 |            743.56 |           168.40 |       92.95 |    32993.14 |       1004.91 |
|        201 |       2033-05-30 |      911.96 |            747.27 |           164.69 |       93.41 |    32245.87 |       1005.37 |
|        202 |       2033-06-30 |      911.96 |            751.00 |           160.96 |       93.88 |    31494.87 |       1005.84 |
|        203 |       2033-07-30 |      911.96 |            754.75 |           157.21 |       94.34 |    30740.12 |       1006.31 |
|        204 |       2033-08-30 |      911.96 |            758.52 |           153.44 |       94.81 |    29981.60 |       1006.78 |
|        205 |       2033-09-30 |      911.96 |            762.30 |           149.66 |       95.29 |    29219.30 |       1007.25 |
|        206 |       2033-10-30 |      911.96 |            766.11 |           145.85 |       95.76 |    28453.19 |       1007.73 |
|        207 |       2033-11-30 |      911.96 |            769.93 |           142.03 |       96.24 |    27683.25 |       1008.20 |
|        208 |       2033-12-30 |      911.96 |            773.78 |           138.19 |       96.72 |    26909.48 |       1008.68 |
|        209 |       2034-01-30 |      911.96 |            777.64 |           134.32 |       97.20 |    26131.84 |       1009.17 |
|        210 |       2034-02-28 |      911.96 |            781.52 |           130.44 |       97.69 |    25350.32 |       1009.65 |
|        211 |       2034-03-30 |      911.96 |            785.42 |           126.54 |       98.18 |    24564.89 |       1010.14 |
|        212 |       2034-04-30 |      911.96 |            789.34 |           122.62 |       98.67 |    23775.55 |       1010.63 |
|        213 |       2034-05-30 |      911.96 |            793.28 |           118.68 |       99.16 |    22982.27 |       1011.12 |
|        214 |       2034-06-30 |      911.96 |            797.24 |           114.72 |       99.66 |    22185.03 |       1011.62 |
|        215 |       2034-07-30 |      911.96 |            801.22 |           110.74 |      100.15 |    21383.80 |       1012.12 |
|        216 |       2034-08-30 |      911.96 |            805.22 |           106.74 |      100.65 |    20578.58 |       1012.62 |
|        217 |       2034-09-30 |      911.96 |            809.24 |           102.72 |      101.16 |    19769.34 |       1013.12 |
|        218 |       2034-10-30 |      911.96 |            813.28 |            98.68 |      101.66 |    18956.06 |       1013.62 |
|        219 |       2034-11-30 |      911.96 |            817.34 |            94.62 |      102.17 |    18138.72 |       1014.13 |
|        220 |       2034-12-30 |      911.96 |            821.42 |            90.54 |      102.68 |    17317.30 |       1014.64 |
